,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
18548,Sn49Te50V,PF,,power factor,[0.00374],[873.0],0.00374,873.0
18549,CrPb50Te50,PF,,highest PF,[0.0033],[295],0.0033,295.0
18550,Ba100O300Sn99Ta,PF,,maximum power factor,[100000.0],[463.0],100000.0,463.0
18551,Ba20Co3O60Sn17,PF,,power factor,[6000000000.0],[470.0],6000000000.0,470.0
18553,Cu2Te,PF,,power factor,[0.00017999999999999998],[588.0],0.00018,588.0
18554,Cu2Te,PF,,power factor,[0.0009000000000000001],[600.0],0.0009000000000000002,600.0
18555,Bi2Ca48Co50O125,PF,,power factor,[0.00044000000000000007],[973.0],0.00044,973.0
18556,Ca2Co2O5,PF,,power factor,[0.00032],[973.0],0.00032,973.0
18557,Ba30C7Co20O81,PF,,power factors,[900.0000000000001],[295],900.0,295.0
18558,OZn,PF,,power factor,[0.00018],[643.0],0.00018,643.0
18559,Al2O3,PF,,power factors,[0.00043],[600.0],0.00043,600.0
18560,Al2O3,PF,,power factor,[0.00026000000000000003],[295],0.00026000000000000003,295.0
18562,AgSbSn18Te20,PF,,maximum power factor,[0.00198],[723.0],0.00198,723.0
18563,AgSbSn18Te20,PF,,maximum power factor,[0.00198],[673.0],0.00198,673.0
18564,AgSbSn18Te20,PF,,power factor,[0.00198],[723.0],0.00198,723.0
18565,AgSbSn18Te20,PF,,maximum power factor,[0.00198],[723.0],0.00198,723.0
18567,Bi200Se30Te271,PF,,highest PF,[0.00267],[300.0],0.00267,300.0
18568,Bi20Se3Te27,PF,,highest PF,[0.0022],[300.0],0.0022,300.0
18569,Bi200Se30Te273,PF,,PF,[0.0018100000000000002],[498.0],0.00181,498.0
18570,Bi20Se3Te27,PF,,PF,[0.0008],[498.0],0.0008,498.0
18571,Bi40Se3Te57,PF,,maximum PF,[0.0014],[405.0],0.0014,405.0
18572,CoSnTa,PF,,power factor,[0.001093],[820.0],0.001093,820.0
18573,CoSnTa,PF,,power factor,[0.001093],[820.0],0.001093,820.0
18574,CoSnTa,PF,,power factor,[0.001093],[820.0],0.001093,820.0
18575,CeO2,PF,,power factor,[6.25e-10],[673.0],6e-10,673.0
18576,CoNbSn,PF,,power factors,[0.0035],[1000.0],0.0035,1000.0
18577,O60Sr19Ti20Y,PF,,maximum power factor,[0.0009029999999999999],[665.0],0.000903,665.0
18578,Ag,PF,,power factor,[0.0022],[720.0],0.0022,720.0
18579,PbTe,PF,,power factor,[0.005616],[500.0],0.005616,500.0
18581,FeLaO3,PF,,power factor,[0.0001],[1050.0],0.0001,1050.0
18583,FeLa10Ni9O30,PF,,power factor,[7e-05],[800.0],7.000000000000001e-05,800.0
